"","lineage","metric","region","mean_fraction_negative_all","HPD_llim_all","HPD_ulim_all","mean_fraction_negative_terminal","HPD_llim_terminal","HPD_ulim_terminal","mean_fraction_negative_internal","HPD_llim_internal","HPD_ulim_internal","mean_fraction_negative_trunk","HPD_llim_trunk","HPD_ulim_trunk","mean_fraction_negative_nontrunk","HPD_llim_nontrunk","HPD_ulim_nontrunk"
"1","CH103","S5F","WS",0.603149610589672,0.584770114942529,0.619456366237482,0.582542844100097,0.557377049180328,0.602179836512262,0.625700622529986,0.599406528189911,0.657894736842105,0.592890996693457,0.515625,0.666666666666667,0.633131016193307,0.60377358490566,0.666666666666667
"2","CH103","S5F","FR",0.563887779253193,0.546099290780142,0.58259325044405,0.525751663030233,0.498327759197324,0.551839464882943,0.608090824191948,0.578544061302682,0.63953488372093,0.651895770394811,0.574468085106383,0.738095238095238,0.599398567056043,0.565610859728507,0.631111111111111
"3","CH103","S5F","CDR",0.642189129055999,0.621951219512195,0.663265306122449,0.650646520456872,0.618473895582329,0.678861788617886,0.633424849516084,0.604081632653061,0.665271966527197,0.57365186787594,0.5,0.652173913043478,0.645985077016206,0.611111111111111,0.680412371134021
"4","CH103","HS","WS",0.72260011157383,0.706382978723404,0.739872068230277,0.705077764189462,0.680327868852459,0.729957805907173,0.74069353266653,0.715481171548117,0.766949152542373,0.797164309868416,0.704545454545455,0.866666666666667,0.727690491026207,0.701570680628272,0.756906077348066
"5","CH103","HS","FR",0.707234669608135,0.680722891566265,0.73030303030303,0.665438368036436,0.629411764705882,0.697142857142857,0.75269926219921,0.717791411042945,0.787878787878788,0.844565240404074,0.75,0.931034482758621,0.733068123573181,0.696,0.76984126984127
"6","CH103","HS","CDR",0.724233575187617,0.704347826086957,0.743362831858407,0.720297622804366,0.691489361702128,0.748633879781421,0.728879160301661,0.69811320754717,0.75974025974026,0.720208817579269,0.620689655172414,0.8,0.730672252663514,0.699300699300699,0.763779527559055
"7","CH103","OHS","WS",0.794986843774527,0.763888888888889,0.825174825174825,0.770178286139304,0.72289156626506,0.807228915662651,0.832046404061559,0.788461538461538,0.877551020408163,0.867677587445234,0.785714285714286,0.923076923076923,0.823305787687429,0.765957446808511,0.866666666666667
"8","CH103","OHS","FR",0.815017503597761,0.78125,0.84375,0.790859159090108,0.743589743589744,0.827160493827161,0.854052474110982,0.8125,0.897959183673469,0.903151268176268,0.833333333333333,0.928571428571429,0.838709263572134,0.789473684210526,0.897435897435897
"9","CH103","OHS","CDR",0.558227555921405,0.5,0.625,0.475305543068043,0.285714285714286,0.615384615384615,0.631247022422022,0.555555555555556,0.7,0.00483333333333333,0,0,0.71080772005772,0.625,0.777777777777778
"10","CH103","X7M","WS",0.469144468223954,0.451566951566952,0.486524822695035,0.45247029883823,0.432065217391304,0.474254742547426,0.487394846428005,0.456973293768546,0.514970059880239,0.450024766742297,0.385964912280702,0.516666666666667,0.495959440014871,0.463235294117647,0.532374100719424
