Type	ID	Observed_CDR_R	Observed_CDR_S	Observed_FWR_R	Observed_FWR_S	Expected_CDR_R	Expected_CDR_S	Expected_FWR_R	Expected_FWR_S	Focused_Sigma_CDR	Focused_CIlower_CDR	Focused_CIupper_CDR	Focused_Sigma_FWR	Focused_CIlower_FWR	Focused_CIupper_FWR	Focused_P_CDR	Focused_P_FWR
Group	All sequences combined	NA	NA	NA	NA	NA	NA	NA	NA	-0.307	-0.38	-0.26	-0.131	-0.19	-0.1	-2.49e-14	-1.84e-11
Germline	UCA	NA	NA	NA	NA	NA	NA	NA	NA	-0.307	-0.38	-0.26	-0.131	-0.19	-0.1	-2.49e-14	-1.84e-11
Sequence	KC575855_14	2	0	6	2	0.168	0.073	0.547	0.212	0.525	-1.38	 2.4	0.343	-1.07	1.96	0.281	0.337
Sequence	KC575854_14	2	0	8	2	0.168	0.073	0.547	0.212	0.525	-1.38	 2.4	0.607	-0.73	2.17	0.281	0.203
Sequence	KC575935_53	4	2	11	4	0.168	0.073	0.547	0.212	0.148	-1.13	1.33	-0.0791	-1.04	0.91	0.397	-0.427
Sequence	KC576057_53	3	2	8	5	0.168	0.073	0.547	0.212	-0.257	-1.64	0.96	-0.528	-1.53	0.46	-0.356	-0.145
Sequence	KC575897_53	4	2	12	5	0.168	0.073	0.547	0.212	0.00368	-1.25	1.14	-0.14	-1.05	0.79	0.488	-0.373
Sequence	KC576062_53	4	2	11	5	0.168	0.073	0.547	0.212	0.00368	-1.25	1.14	-0.224	-1.15	0.71	0.488	-0.311
Sequence	KC576075_53	5	2	11	7	0.168	0.073	0.547	0.212	-0.028	-1.15	0.99	-0.462	-1.34	 0.4	-0.488	-0.145
Sequence	KC575883_53	5	2	11	4	0.168	0.073	0.547	0.212	0.355	-0.83	1.49	-0.0791	-1.04	0.91	0.267	-0.427
Sequence	KC575905_53	2	2	16	2	0.168	0.073	0.547	0.212	-0.102	-1.82	1.42	0.653	-0.34	1.77	-0.463	0.103
Sequence	KC575969_53	3	4	16	1	0.168	0.073	0.547	0.212	0.0556	-1.39	1.37	0.45	-0.49	1.47	0.457	0.18
Sequence	KC576027_53	3	4	15	1	0.168	0.073	0.547	0.212	0.0556	-1.39	1.37	0.388	-0.56	1.41	0.457	0.22
Sequence	KC575940_53	3	3	17	2	0.168	0.073	0.547	0.212	0.0556	-1.39	1.37	0.508	-0.42	1.52	0.457	0.147
Sequence	KC575879_53	3	3	17	2	0.168	0.073	0.547	0.212	0.0556	-1.39	1.37	0.508	-0.42	1.52	0.457	0.147
Sequence	KC575928_53	4	3	15	3	0.168	0.073	0.547	0.212	0.148	-1.13	1.33	0.219	-0.68	1.17	0.397	0.327
Sequence	KC575875_53	4	3	15	2	0.168	0.073	0.547	0.212	0.319	-0.99	1.56	0.388	-0.56	1.41	0.304	0.22
Sequence	KC575990_53	4	3	17	2	0.168	0.073	0.547	0.212	0.319	-0.99	1.56	0.508	-0.42	1.52	0.304	0.147
Sequence	KC575876_53	4	3	16	2	0.168	0.073	0.547	0.212	0.319	-0.99	1.56	0.45	-0.49	1.47	0.304	0.18
Sequence	KC576227_92	4	4	24	9	0.168	0.073	0.547	0.212	-0.583	-1.75	0.42	-0.0579	-0.73	0.61	-0.139	-0.426
Sequence	KC575877_53	5	3	13	7	0.168	0.073	0.547	0.212	-0.128	-1.23	0.86	-0.402	-1.22	0.41	-0.413	-0.163
Sequence	KC575856_53	5	0	13	6	0.168	0.073	0.547	0.212	0.355	-0.83	1.49	0.0811	-0.84	1.05	0.267	0.442
Sequence	KC575864_53	2	0	10	5	0.168	0.073	0.547	0.212	-0.305	-1.98	1.13	-0.000437	-1.02	1.07	-0.359	-0.489
Sequence	KC575862_53	2	0	11	4	0.169	0.073	0.545	0.213	-0.102	-1.82	1.42	0.302	-0.76	1.46	-0.463	0.301
Sequence	KC576043_53	4	2	9	4	0.168	0.073	0.547	0.212	0.148	-1.13	1.33	-0.271	-1.28	0.75	0.397	-0.292
Sequence	KC575881_53	8	4	15	4	0.168	0.073	0.547	0.212	0.525	-0.45	1.47	-0.0514	-0.89	 0.8	0.138	-0.444
Sequence	KC575941_53	4	5	14	10	0.168	0.073	0.547	0.212	-0.719	-1.87	0.26	-0.721	-1.46	-0.01	-0.0819	-0.0244
Sequence	KC575985_53	2	4	14	6	0.168	0.073	0.547	0.212	-0.941	-2.51	0.32	-0.33	-1.14	0.47	-0.0805	-0.205
Sequence	KC576003_53	3	5	14	8	0.168	0.073	0.547	0.212	-0.839	-2.14	0.24	-0.582	-1.34	0.15	-0.0715	-0.0621
Sequence	KC575870_53	2	1	10	2	0.168	0.073	0.547	0.212	0.16	-1.63	1.81	0.463	-0.7	1.77	0.415	0.231
