id,cdr3len,v,d,j
gi|808349715|gb|KP841267.1|,54,IGHV1-2*04,IGHD2-8*01,IGHJ4*02
gi|808349727|gb|KP841273.1|,54,IGHV1-2*04,IGHD2-8*01,IGHJ4*02
gi|808349731|gb|KP841275.1|,54,IGHV1-2*04,IGHD2-8*01,IGHJ4*02
gi|808349735|gb|KP841277.1|,54,IGHV1-2*04,IGHD2-8*01,IGHJ4*02
gi|808349743|gb|KP841281.1|,54,IGHV1-2*04,IGHD2-8*01,IGHJ4*02
gi|808349747|gb|KP841283.1|,54,IGHV1-2*04,IGHD2-8*01,IGHJ4*02
gi|808349779|gb|KP841299.1|,54,IGHV1-2*04,IGHD2-8*01,IGHJ4*02
gi|808349781|gb|KP841300.1|,54,IGHV1-2*04,IGHD2-8*01,IGHJ4*02
gi|808349789|gb|KP841304.1|,54,IGHV1-2*04,IGHD2-8*01,IGHJ4*02
gi|808349803|gb|KP841311.1|,54,IGHV1-2*04,IGHD2-8*01,IGHJ4*02
gi|808349813|gb|KP841316.1|,54,IGHV1-2*04,IGHD2-8*01,IGHJ4*02
gi|808349821|gb|KP841320.1|,54,IGHV1-2*04,IGHD2-8*01,IGHJ4*02
gi|808349853|gb|KP841336.1|,54,IGHV1-2*04,IGHD2-8*01,IGHJ4*02
gi|808349859|gb|KP841339.1|,54,IGHV1-2*04,IGHD2-8*01,IGHJ4*02
gi|808349863|gb|KP841341.1|,54,IGHV1-2*04,IGHD2-8*01,IGHJ4*02
gi|808349867|gb|KP841343.1|,54,IGHV1-2*04,IGHD2-8*01,IGHJ4*02
gi|808349871|gb|KP841345.1|,54,IGHV1-2*04,IGHD2-8*01,IGHJ4*02
gi|808349883|gb|KP841351.1|,54,IGHV1-2*04,IGHD2-8*01,IGHJ4*02
